image_name,latent_1,latent_2,latent_3,phenotype_cluster
E07-69_ABETA_1F,0.2313784,-0.37133574,-0.5066877,2
OS01-134_ABETA_1J,-0.9020658,0.73496264,1.2529082,0
E09-138_ABETA_1A,-0.04184315,0.21938546,0.006097421,2
E07-184_ABETA_1E,0.2164424,-0.17757079,-0.35416108,2
E09-181_ABETA_1C,-0.7743513,0.9075225,1.1680104,0
E04-89_ABETA_1C,0.036162864,0.035281762,0.0288236,2
OS97-51_ABETA_12,0.88094705,0.8696272,-0.8090332,2
E07-188_ABETA_1C,-0.4915926,0.5666845,0.665053,0
OS01-112_ABETA_5,-1.3352237,1.3648757,1.8076596,0
E06-91_ABETA_16,-0.12098153,-0.05533196,0.035838664,2
E09-06_ABETA_1C,0.26523772,-0.4145211,-0.56494296,2
OS01-134_ABETA_1E,-0.05387569,0.24401866,0.18581098,2
E07-69_ABETA_1I,0.24909523,-0.37442598,-0.54025507,2
E07-26_ABETA_1P,-1.4684469,1.4055443,1.9858762,0
E08-101_1A_AB,0.09340438,-0.31098652,-0.24017431,2
E07-135_ABETA_1C,0.18188082,-0.009075925,-0.20272584,2
E08-127_ABETA_1A,-1.1175385,0.81437093,1.5408245,0
E07-191_ABETA_1E,0.53569406,0.7681093,-0.36750966,2
E07-26_ABETA_1A,-0.28366143,0.2599836,0.24445295,2
E04-77_ABETA_1B,-0.33782256,0.19980885,0.5358526,2
E04-115_ABETA_1I,-1.5855117,1.3950485,2.1549022,0
E08-127_ABETA_1P,0.239379,-0.35222465,-0.49929297,2
E07-135_ABETA_1R,-0.37174165,0.38649017,0.34031525,2
OS96-51_ABETA-001,-0.65508497,0.6190243,0.814487,0
E06-114_ABETA_2B,-0.05571713,-0.20001689,0.014715463,2
E04-115_ABETA_1F,0.056082718,-0.26400995,-0.16634966,2
E06-169_ABETA_1B,-0.5565672,0.5405635,0.6582977,0
E09-181_ABETA_1R,-0.91472423,1.1646996,1.393857,0
E04-25_ABETA_1A,-0.07301286,-0.16374561,0.043501675,2
E08-145_2A_AB,0.32895792,-0.445566,-0.6789481,2
E10-05_ABETA-1B,-0.49229836,0.44721842,0.56521505,0
E09-91_ABETA_1C,0.045616936,-0.25412387,-0.15401693,2
E04-186_1B_AB,0.1429363,-0.25261378,-0.2830823,2
E04-169_1C_AB,-0.18345474,-0.056830518,0.2511114,2
OS01-09_ABETA_3,-0.7134485,0.43597585,1.0403026,0
E09-35_ABETA_1J,-0.75118774,1.048822,0.8862092,0
E09-8_1I_AB,0.1213329,-0.35873228,-0.31483382,2
OS00-06_3_AB,-0.56854993,0.90752643,0.9470779,0
E06-119_ABETA_1E,-1.5259956,1.234553,2.0773168,0
OS99-09_ABETA_13,-0.5562935,0.54057926,0.65809673,0
E07-52_ABETA_1D,-0.123714626,0.5239401,0.31014788,2
E08-145_2P_AB,-1.236592,0.9056756,1.7027467,0
E09-35_ABETA_1E,-0.50814414,0.7648804,0.55996203,0
E09-8_1F_AB,0.35351747,-0.4377582,-0.70820856,2
OS01-09_ABETA_13,-0.14614582,0.3004982,0.10937168,2
E09-136_1D_AB,0.22442722,-0.3989877,-0.49516052,2
OS-102109_ABETA_4,-0.9465845,1.1131134,1.4167426,0
OS02-212_ABETA_2F,0.35474873,-0.34191352,-0.6518488,2
OS03-66_ABETA_1G,0.25909123,-0.42206818,-0.5618026,2
E07-85_ABETA_1P,0.15300456,-0.32531136,-0.34011948,2
E06-113_ABETA_2D,-0.36258915,0.17437191,0.56514007,2
E06-91_ABETA_1A,0.0055315234,-0.23771736,-0.0838929,2
E09-126_ABETA_1A,3.2101343,0.8069928,-3.6523082,2
OS03-66_ABETA_1H,0.3418514,-0.4300974,-0.6858472,2
E05-130_2G_AB,0.2232271,-0.40345007,-0.49711412,2
E06-190_ABETA_1E,0.60425466,0.41140324,-0.5569938,2
E04-155_ABETA_1C,-0.14214772,0.08475618,0.273049,2
E09-126_ABETA_1P,-1.3425479,1.4161334,1.8094213,0
E04-46_ABETA_2A,0.18662767,-0.15570803,-0.30430645,2
E06-91_ABETA_1P,-0.7791894,1.045112,0.90646994,0
E07-81_ABETA_1C,0.18250902,-0.2618752,-0.34876406,2
E04-155_ABETA_1L,0.2308736,-0.3912536,-0.4986096,2
E07-38_ABETA_1A,-0.6001716,0.9791588,0.8052696,0
OS01-137_ABETA_1A,0.096138895,0.100300655,-0.038936615,2
E07-85_ABETA_1A,0.280828,-0.3796981,-0.567996,2
E09-170_ABETA_1Q,0.16551426,-0.29160726,-0.3790844,2
E07-03_ABETA_1C,-1.5948188,1.3505086,2.1678996,0
E08-162_1E_AB,0.2861964,-0.3736936,-0.58130103,2
OS03-174_ABETA_1E,0.32115084,-0.22595559,-0.527449,2
OS03-63_ABETA_2,-0.39261886,0.47903818,0.42676216,2
E04-152_2C_AB,1.7493778,2.0805135,-1.6576595,2
E04-134_ABETA_1I,0.71773416,-0.07520977,-0.94994485,2
E09-75_ABETA_1Q,-0.8047961,0.62613726,1.1787449,0
E05-184_ABETA_18,0.41983908,-0.4692198,-0.8275392,2
OS03-174_ABETA_1J,0.5735298,-0.2074953,-0.84476244,2
E06-54_ABETA_1B,-0.38323528,0.2623214,0.43073487,2
E04-134_ABETA_1F,-0.056689713,-0.014282711,-0.049014553,2
E07-12_ABETA_1A,-0.0531932,-0.15186721,0.046999585,2
E04-177_ABETA_1G,0.13059048,-0.013176069,-0.1322395,2
E04-121_ABETA_1I,-0.42786053,0.3541239,0.47198993,2
E04-177_ABETA_1H,-0.6174621,0.41892797,0.84507066,0
E06-103_ABETA_1G,-1.1172659,0.77163994,1.5459728,0
E09-75_ABETA_1O,-0.12828782,-0.06808874,0.05721207,2
E07-03_ABETA_1R,0.16012189,0.5277404,0.032257393,2
E04-121_ABETA_1F,0.3155373,-0.4115023,-0.6382694,2
E04-125_ABETA_1D,-0.0002216883,0.004618868,0.06389918,2
OS02-271_ABETA_1I,-0.3220899,0.48296714,0.3401416,2
E04-56_ABETA_1S,-0.2567517,0.05269283,0.39038056,2
E04-32_ABETA_2D,0.3554045,-0.37726837,-0.6817816,2
OS00-40_ABETA_12,-1.0282574,1.0355865,1.427724,0
OS01-08_ABETA_3,0.34343237,-0.41558707,-0.6796737,2
E09-97_ABETA_1D,-0.25498223,0.075385824,0.2797789,2
E07-143_ABETA_1C,0.0033938326,-0.17943697,-0.04548627,2
OS01-70_1F_AB,-0.03444137,0.11576392,-0.0074924678,2
E06-41_2B_AB,0.5811636,0.7107111,-0.49001372,2
E06-48_ABETA_1G,0.43397444,-0.47826493,-0.85527897,2
E06-154_ABETA_1G,0.3438198,-0.37465978,-0.6560172,2
E09-97_ABETA_1K,-0.031481195,0.05535288,0.13067523,2
E06-128_1C_AB,-0.175994,0.022541746,0.10777438,2
E09-91_1C_AB,12.732586,21.248503,-11.083778,1
